z,layered_idp1_intensity,layered_idp2_intensity,layered_idp3_intensity
-74.5,0.045531555555555554,0.0,0.0
-73.5,0.04513333333333333,0.0,0.0
-72.5,0.04503911111111111,0.0,0.0
-71.5,0.045671555555555556,0.0,0.0
-70.5,0.04668888888888889,0.0,0.0
-69.5,0.047348888888888885,0.0,0.0
-68.5,0.047764888888888885,0.0,0.0
-67.5,0.048702666666666665,0.0,0.0
-66.5,0.04988488888888889,0.0,0.0
-65.5,0.049528888888888886,0.0,0.0
-64.5,0.04941511111111111,0.0,0.0
-63.5,0.050417333333333335,0.0,0.0
-62.5,0.05055333333333333,0.0,0.0
-61.5,0.05144133333333333,0.0,0.0
-60.5,0.05280088888888889,0.0,0.0
-59.5,0.05268133333333334,0.0,0.0
-58.5,0.052781777777777775,0.0,0.0
-57.5,0.052312444444444446,0.0,0.0
-56.5,0.05217511111111111,0.0,0.0
-55.5,0.051115999999999995,0.0,0.0
-54.5,0.052478222222222225,0.0,0.0
-53.5,0.054557777777777774,0.0,0.0
-52.5,0.05536222222222222,0.0,0.0
-51.5,0.05579155555555556,0.0,0.0
-50.5,0.056535999999999996,0.0,0.0
-49.5,0.056787111111111115,0.0,0.0
-48.5,0.05735822222222222,0.0,0.0
-47.5,0.058694222222222224,0.0,0.0
-46.5,0.05825777777777778,0.0,0.0
-45.5,0.05677644444444444,0.0,0.0
-44.5,0.05679911111111111,0.0,0.0
-43.5,0.05533777777777778,0.0,0.0
-42.5,0.053981777777777774,0.0,0.0
-41.5,0.054406222222222224,0.0,0.0
-40.5,0.05537422222222222,0.0,0.0
-39.5,0.055892,0.0,0.0
-38.5,0.05656222222222222,0.0,0.0
-37.5,0.05745466666666667,0.0,0.0
-36.5,0.05765155555555556,0.0,0.0
-35.5,0.057819555555555555,0.0,0.0
-34.5,0.057300000000000004,0.0,0.0
-33.5,0.056501333333333334,0.0,0.0
-32.5,0.05603777777777778,0.0,0.0
-31.5,0.05623422222222222,0.0,0.0
-30.5,0.056229777777777774,0.0,0.0
-29.5,0.056835555555555556,0.0,0.0
-28.5,0.059496888888888884,0.0,0.0
-27.5,0.06008533333333333,0.0,0.0
-26.5,0.06056177777777778,0.0,0.0
-25.5,0.060275999999999996,0.0,0.0
-24.5,0.060588888888888894,0.0,0.0
-23.5,0.06119511111111111,0.0,0.0
-22.5,0.060684888888888885,0.0,0.0
-21.5,0.06065466666666666,0.0,0.0
-20.5,0.061267555555555554,0.0,0.0
-19.5,0.061588000000000004,0.0,0.0
-18.5,0.06192533333333333,0.0,0.0
-17.5,0.06412133333333334,0.0,0.0
-16.5,0.06875866666666668,0.0,0.0
-15.5,0.07626,0.0,0.0
-14.5,0.09162311111111111,0.0,0.0
-13.5,0.12169111111111111,8.88888888888889e-07,0.0
-12.5,0.17794488888888887,7.555555555555555e-06,1.777777777777778e-06
-11.5,0.28015422222222225,4.8e-05,8.444444444444444e-06
-10.5,0.44465244444444446,0.00037466666666666665,9.866666666666668e-05
-9.5,0.6795053333333333,0.002220888888888889,0.0005648888888888889
-8.5,0.9709253333333333,0.009217777777777778,0.002588
-7.5,1.2761955555555555,0.03431644444444444,0.010887111111111111
-6.5,1.4972475555555556,0.13361733333333334,0.04435022222222222
-5.5,1.4833062222222222,0.4382235555555556,0.16631866666666667
-4.5,1.132535111111111,1.0391453333333334,0.4794204444444445
-3.5,0.6195608888888888,1.6949239999999999,1.0256173333333334
-2.5,0.2278711111111111,2.0069346666666665,1.6875115555555555
-1.5,0.053617333333333336,1.9203848888888888,2.271964
-0.5,0.007954222222222222,1.6986737777777776,2.658064
0.5,0.001315111111111111,1.560742222222222,2.826748888888889
1.5,0.002668888888888889,1.582407111111111,2.8003484444444444
2.5,0.010012888888888889,1.7598004444444446,2.5890844444444445
3.5,0.04032622222222222,2.0333551111111112,2.198800888888889
4.5,0.15472666666666665,2.2026937777777778,1.6530626666666666
5.5,0.44851555555555556,1.965127111111111,1.0428964444444444
6.5,0.8747062222222222,1.3037666666666667,0.5160302222222223
7.5,1.1808897777777778,0.6042395555555555,0.18990800000000002
8.5,1.2030293333333333,0.18661955555555557,0.04875733333333333
9.5,0.9937644444444445,0.038842666666666664,0.008177333333333333
10.5,0.7127093333333333,0.005738666666666666,0.0009408888888888889
11.5,0.4637702222222222,0.0006924444444444444,6.4e-05
12.5,0.28508177777777777,9.422222222222223e-05,7.555555555555555e-06
13.5,0.1732302222222222,8.888888888888888e-06,0.0
14.5,0.1130768888888889,4e-06,0.0
15.5,0.08270622222222221,0.0,0.0
16.5,0.06891422222222222,0.0,0.0
17.5,0.062375999999999994,0.0,0.0
18.5,0.060028,0.0,0.0
19.5,0.05869066666666666,0.0,0.0
20.5,0.05789866666666667,0.0,0.0
21.5,0.057695555555555555,0.0,0.0
22.5,0.05898266666666667,0.0,0.0
23.5,0.05987244444444444,0.0,0.0
24.5,0.060684888888888885,0.0,0.0
25.5,0.06198622222222222,0.0,0.0
26.5,0.063532,0.0,0.0
27.5,0.06408666666666667,0.0,0.0
28.5,0.06489644444444444,0.0,0.0
29.5,0.06502666666666666,0.0,0.0
30.5,0.06273555555555556,0.0,0.0
31.5,0.06048044444444445,0.0,0.0
32.5,0.060005333333333334,0.0,0.0
33.5,0.05903244444444444,0.0,0.0
34.5,0.057423555555555554,0.0,0.0
35.5,0.05609466666666667,0.0,0.0
36.5,0.054675999999999995,0.0,0.0
37.5,0.05399866666666666,0.0,0.0
38.5,0.053435111111111114,0.0,0.0
39.5,0.05382088888888889,0.0,0.0
40.5,0.053847111111111116,0.0,0.0
41.5,0.054413777777777776,0.0,0.0
42.5,0.05465377777777778,0.0,0.0
43.5,0.05520977777777778,0.0,0.0
44.5,0.05415155555555556,0.0,0.0
45.5,0.05316311111111111,0.0,0.0
46.5,0.05277155555555556,0.0,0.0
47.5,0.05363866666666667,0.0,0.0
48.5,0.05391022222222222,0.0,0.0
49.5,0.052896,0.0,0.0
50.5,0.05087733333333333,0.0,0.0
51.5,0.04907955555555555,0.0,0.0
52.5,0.046997333333333335,0.0,0.0
53.5,0.04747866666666667,0.0,0.0
54.5,0.04662977777777778,0.0,0.0
55.5,0.04583466666666666,0.0,0.0
56.5,0.045975555555555554,0.0,0.0
57.5,0.045818222222222225,0.0,0.0
58.5,0.04453155555555556,0.0,0.0
59.5,0.04369155555555556,0.0,0.0
60.5,0.042895555555555555,0.0,0.0
61.5,0.043014222222222225,0.0,0.0
62.5,0.04249733333333333,0.0,0.0
63.5,0.04254044444444444,0.0,0.0
64.5,0.04249155555555556,0.0,0.0
65.5,0.04099777777777778,0.0,0.0
66.5,0.04049066666666667,0.0,0.0
67.5,0.04040666666666667,0.0,0.0
68.5,0.04046222222222222,0.0,0.0
69.5,0.042016,0.0,0.0
70.5,0.04394844444444445,0.0,0.0
71.5,0.0465,0.0,0.0
72.5,0.04688666666666667,0.0,0.0
73.5,0.04641733333333333,0.0,0.0
74.5,0.045928444444444445,0.0,0.0
