chi,rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rg11,rg12,rg13,rg14,rg15,rg16,rg17,rg18,rg19,rg20,rg21,rg22,rg23,rg24,rg25,avg
-0.6,2.767378713,2.80467283,2.828288935,2.833500175,2.858791913,2.833923845,2.810931583,2.812891832,2.87148539,2.841050854,2.838392908,2.80474893,2.835302691,2.830043156,2.848251555,2.840977698,2.804964882,2.834033802,2.81777896,2.800061113,2.786206206,2.861864083,2.886623065,2.862521146,2.867699561,2.831295433
-0.5,2.715275677,2.720240598,2.808509515,2.820435028,2.784510192,2.776120286,2.767924257,2.778842054,2.758946415,2.806921938,2.77443709,2.772233258,2.736165093,2.762712209,2.80044983,2.821701166,2.794945569,2.774960751,2.783734096,2.756195868,2.787106093,2.757415168,2.76258818,2.74302747,2.787702515,2.774124013
-0.4,2.750650341,2.696651393,2.720840028,2.736349657,2.756364471,2.72045158,2.777118636,2.761654974,2.720834283,2.74958502,2.753068863,2.718726545,2.739101373,2.74214157,2.784106936,2.702852764,2.773989718,2.735568194,2.784913967,2.697680248,2.786373019,2.71303853,2.709142146,2.693231152,2.742226311,2.738666469
-0.3,2.716478636,2.660939412,2.6764644,2.677988779,2.675986722,2.713467239,2.671069209,2.677019084,2.639524674,2.722003384,2.676881421,2.695809962,2.728038701,2.708635663,2.709792214,2.683261743,2.688081704,2.681858175,2.653055349,2.703836626,2.707898312,2.711250136,2.705644136,2.694840534,2.604141336,2.687358702
-0.2,2.619125781,2.607744254,2.600106299,2.616256289,2.638254221,2.661794098,2.623144733,2.670059473,2.647662636,2.58934208,2.631612794,2.629895833,2.63171503,2.657613619,2.627690137,2.589909906,2.661735139,2.639352634,2.606260782,2.608283278,2.614961537,2.655066202,2.629812017,2.641286391,2.728451847,2.63308548
-0.1,2.614658256,2.594561538,2.562098366,2.550637793,2.578652668,2.594303882,2.60814122,2.585635991,2.584647134,2.589603519,2.611592294,2.570378147,2.588298041,2.545918223,2.567631757,2.579028641,2.576252221,2.634885544,2.598773628,2.624577139,2.570640138,2.620081116,2.535769113,2.586917898,2.570718933,2.585776128
0,2.522141786,2.551367434,2.504280065,2.536429431,2.46733766,2.5215794,2.512381972,2.473045341,2.536286618,2.509275653,2.471811454,2.481488173,2.485313333,2.509612183,2.51155677,2.550911066,2.509321951,2.491139392,2.485444971,2.508337586,2.525302836,2.503328855,2.493444328,2.517228387,2.528063283,2.508257197
0.1,2.44206883,2.421139734,2.441525251,2.40964126,2.428850906,2.427472659,2.4583824,2.453850157,2.403463654,2.456768226,2.451451309,2.470260278,2.423435017,2.333898898,2.458615133,2.400434179,2.457402053,2.372961435,2.433517801,2.441165767,2.441797849,2.398112784,2.384567974,2.420961261,2.421309482,2.426122172
0.2,2.378652969,2.362227331,2.352591211,2.378190843,2.404488222,2.362386474,2.356893336,2.37529705,2.423777519,2.323468615,2.373545927,2.349407605,2.343573749,2.302774014,2.35800579,2.375148576,2.360377268,2.358401987,2.383498419,2.356002735,2.320747317,2.350651546,2.332492074,2.364389555,2.337490664,2.359379232
0.3,2.241348395,2.183454503,2.231015257,2.224581922,2.205265013,2.252000893,2.237542906,2.235635781,2.255656403,2.188232303,2.240880563,2.241624263,2.266735463,2.240990703,2.213309015,2.207410741,2.260877238,2.27251814,2.209037733,2.214923048,2.29286986,2.253172762,2.240269462,2.242063745,2.272896821,2.236972517
0.4,2.094832981,2.089153646,2.098487528,2.127171446,2.126734426,2.129104602,2.148853799,2.151678579,2.098934716,2.114397439,2.148762367,2.086694812,2.050829098,2.138176237,2.11192046,2.096898344,2.094016653,2.114677201,2.134954408,2.118230167,2.16227598,2.131498528,2.125682258,2.106507681,2.123202525,2.116947035
0.5,1.985405063,1.974695063,1.947033526,1.960290021,1.979509261,1.97791574,1.98626817,1.95289473,1.925380046,1.947615681,1.938039231,1.952419784,1.973135731,1.972248428,1.981541581,1.963602964,1.950554629,1.967678429,1.96548542,1.961990579,1.929952412,1.967080063,1.968606549,1.977457063,1.973215633,1.963200632
0.6,1.798545006,1.805120674,1.85670602,1.853915168,1.813419681,1.827435008,1.788040464,1.834608634,1.833438447,1.794189462,1.812365784,1.817510342,1.828208457,1.80922007,1.836477099,1.815180548,1.836182974,1.842384471,1.793511505,1.823403417,1.74723868,1.82564191,1.811606056,1.76500295,1.841929919,1.81645131
0.7,1.565743622,1.582816267,1.490097457,1.587676884,1.589928053,1.603584856,1.591685031,1.616092393,1.62826932,1.573969826,1.563279308,1.630059973,1.606149964,1.567641481,1.498360777,1.611716451,1.545286704,1.532241362,1.596554373,1.587154174,1.628744691,1.593025148,1.568972827,1.5779916,1.601812136,1.581554187
0.8,1.378654314,1.397503009,1.444474528,1.40853082,1.435970745,1.410881687,1.38514362,1.393186572,1.39125158,1.402259789,1.38979827,1.401670892,1.409170725,1.421746658,1.410183066,1.408411992,1.406163875,1.392684814,1.433926647,1.39812496,1.429062877,1.418695959,1.393712373,1.406510439,1.428811346,1.407861262
