epsilon,rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rg11,rg12,rg13,rg14,rg15,rg16,rg17,rg18,rg19,rg20,rg21,rg22,rg23,rg24,rg25,avg
-35,1.522893619,1.531125447,1.535590865,1.549913417,1.51350832,1.523443035,1.525793815,1.534349705,1.535283191,1.497933916,1.496053949,1.525316213,1.529708452,1.54275874,1.51873411,1.527739449,1.535636192,1.539301147,1.511015217,1.482347489,1.531143762,1.516493844,1.514014862,1.539431374,1.519161525,1.523947666
-25,1.664665281,1.65117944,1.731149622,1.618065048,1.709511665,1.665680628,1.641370992,1.664098688,1.675007554,1.657227516,1.647138731,1.717337495,1.669661633,1.667913527,1.71037253,1.713229975,1.670237612,1.611483197,1.741339801,1.687710312,1.643862199,1.628891116,1.640179993,1.64852759,1.623957214,1.667991974
-20,1.7388945,1.712144069,1.760440223,1.700524168,1.719305184,1.703491216,1.704763613,1.705093158,1.685076461,1.720912465,1.69541185,1.771919875,1.702340892,1.704514416,1.694241298,1.654297943,1.722645559,1.780784517,1.713897289,1.820343444,1.685257191,1.76801789,1.702867976,1.728218068,1.722371165,1.720710977
-13,1.800097047,1.748727356,1.804105769,1.82186451,1.81678218,1.837965767,1.789393348,1.733906523,1.773214353,1.750340817,1.798975604,1.799484774,1.813545853,1.816414293,1.818659213,1.775505196,1.793816116,1.813292413,1.767334407,1.776415762,1.771593899,1.781416358,1.767981934,1.733254773,1.800244377,1.788173306
-6,1.839139244,1.847537991,1.840492081,1.837587881,1.87092268,1.839512034,1.824241197,1.841498119,1.879908486,1.817500407,1.804471289,1.816854907,1.813298595,1.838685196,1.847589196,1.859100535,1.751649483,1.86367197,1.858202443,1.803105047,1.864136048,1.887366746,1.837089669,1.831223039,1.866030493,1.839232591
0,1.868588465,1.906917969,1.884887322,1.888235281,1.891170756,1.888939584,1.908436047,1.893545772,1.887285533,1.883103602,1.895855313,1.900418137,1.892255943,1.88700588,1.898481776,1.874606714,1.885012181,1.884527099,1.900352982,1.880912218,1.879852542,1.883353182,1.893137019,1.896886498,1.832305778,1.887442944
6,1.933460655,1.944330927,1.94257265,1.9412673,1.927397558,1.937022165,1.93214082,1.934602081,1.921830785,1.964964677,1.912965444,1.967444285,1.938620453,1.944397975,1.95601636,1.946991024,1.932931538,2.024335829,1.918267873,1.940798171,1.937564359,1.928942636,1.951773403,1.930934691,1.916958363,1.941141281
13,2.020165804,1.965608831,2.013495487,2.078754208,1.954550941,2.07975836,2.085960692,2.093192158,1.954726141,1.963311435,2.006776445,1.984700998,1.983496784,1.977901634,2.001664622,1.997103904,2.074249082,1.988637817,2.061416096,1.976972011,2.111609355,2.027318861,2.011919333,2.038160508,2.016952395,2.018736156
20,2.136458307,2.066458125,2.145161878,2.073290451,2.111441571,2.037367218,2.194119966,2.095992726,2.200906491,2.130211133,2.165423563,2.153981358,2.176813543,2.132247019,2.151900657,2.086114392,2.166757091,2.220321995,2.131683433,2.119681663,2.183845236,2.161203076,2.036284265,2.179465536,2.16840689,2.137021503
25,2.250308018,2.181578455,2.155589972,2.18123745,2.255310935,2.207968054,2.18641904,2.18891535,2.128384796,2.217093476,2.141024025,2.239360314,2.189106519,2.25814222,2.19123863,2.243468106,2.218244623,2.215393083,2.248267401,2.293425693,2.192646042,2.244077467,2.261253053,2.178385669,2.232695716,2.211981364
35,2.397087142,2.379190572,2.392289842,2.358451029,2.378740128,2.399128533,2.377294571,2.353050571,2.375714803,2.38669922,2.357853104,2.279553444,2.338564896,2.312438497,2.402905463,2.328750075,2.333532269,2.344138923,2.394693296,2.418657659,2.262780416,2.35855162,2.404016986,2.369125534,2.3544854,2.36230776
