z,3a_idp1_intensity,3a_idp2_intensity,3a_idp3_intensity,3a_idp4_intensity,3b_idp1_intensity,3b_idp2_intensity,3b_idp3_intensity,3b_idp4_intensity
-74.5,0.002657778,0.001485333,0,0,0,0,0.150471556,0.165012
-73.5,0.002814667,0.001577333,0,0,0,0,0.152819556,0.168447556
-72.5,0.003233333,0.001643111,0,0,0,0,0.15318,0.170737778
-71.5,0.003442222,0.001424889,0,0,0,0,0.153903111,0.169774667
-70.5,0.003573333,0.001389778,0,0,0,0,0.154528444,0.169411556
-69.5,0.003361778,0.001130222,0,0,0,0,0.153932,0.168810222
-68.5,0.003034667,0.001270667,0,0,0,0,0.154233333,0.170001333
-67.5,0.002904444,0.001444444,0,0,0,0,0.153619556,0.170187556
-66.5,0.002649333,0.001510667,0,0,0,0,0.154162222,0.169330667
-65.5,0.002841333,0.001524,0,0,0,0,0.152166222,0.171021333
-64.5,0.003138667,0.001618667,0,0,0,0,0.152137333,0.170810222
-63.5,0.003168444,0.001554667,0,0,0,0,0.152828889,0.171028
-62.5,0.003285778,0.001709778,0,0,0,0,0.153184889,0.170220889
-61.5,0.003308889,0.001697778,0,0,0,0,0.154355556,0.170593333
-60.5,0.003389778,0.001779111,0,0,0,0,0.153793778,0.169909778
-59.5,0.003590222,0.0017,0,0,0,0,0.153471111,0.170291111
-58.5,0.003888889,0.001737333,0,0,0,0,0.152412,0.170404
-57.5,0.004124,0.001683556,0,0,0,0,0.153328,0.169992444
-56.5,0.004439111,0.001451556,0,0,0,0,0.152196444,0.170078222
-55.5,0.004531111,0.001305333,0,0,0,0,0.152494667,0.170181778
-54.5,0.004294667,0.001340889,0,0,0,0,0.153540889,0.170524444
-53.5,0.004173778,0.001205333,0,0,0,0,0.152530222,0.170514222
-52.5,0.003896889,0.001144444,0,0,0,0,0.152843556,0.171432889
-51.5,0.003921778,0.001193333,0,0,0,0,0.152283556,0.171609333
-50.5,0.004152889,0.001431111,0,0,0,0,0.153560889,0.170535111
-49.5,0.004202667,0.001574667,0,0,0,0,0.153867556,0.170535111
-48.5,0.004380889,0.001684,0,0,0,0,0.154144444,0.169474222
-47.5,0.004258222,0.001553778,0,0,0,0,0.153545333,0.169735111
-46.5,0.004401778,0.001406667,0,0,0,0,0.152700444,0.169242222
-45.5,0.004543111,0.001240889,0,0,0,0,0.153436889,0.170027556
-44.5,0.004185778,0.001011111,0,0,0,0,0.153021333,0.169285778
-43.5,0.003853333,0.000927111,0,0,0,0,0.154269333,0.169964444
-42.5,0.003587111,0.000868889,0,0,0,0,0.154014222,0.169174667
-41.5,0.003491111,0.000816444,0,0,0,0,0.154336444,0.167532889
-40.5,0.003312444,0.00086,0,0,0,0,0.155382667,0.167384444
-39.5,0.003232889,0.000804889,0,0,0,0,0.155646667,0.167500444
-38.5,0.003481333,0.000763111,0,0,0,0,0.154839111,0.168510667
-37.5,0.003570222,0.000701778,0,0,0,0,0.154128,0.169241333
-36.5,0.003934222,0.000712,0,0,0,0,0.154159111,0.170335111
-35.5,0.004065778,0.000626222,0,0,0,0,0.152776889,0.170621778
